Index;Time;Temperature
1;0;19.55980492
2;0.5;19.51690483
3;1;19.51690483
4;1.5;19.54907799
5;2;19.57053185
6;2.5;19.59197807
7;3;19.602705
8;3.5;19.62415123
9;4;19.64560509
10;4.5;19.65633202
11;5;19.65633202
12;5.5;19.65633202
13;6;19.68850517
14;6.5;19.68850517
15;7;19.70995903
16;7.5;19.75285912
17;8;19.76357841
18;8.5;19.7957592
19;9;19.81720543
20;9.5;19.86010551
21;10;19.89227867
22;10.5;19.92445946
23;11;19.98880577
24;11.5;20.02098656
25;12;20.10678673
26;12.5;20.21403313
27;13;20.34273338
28;13.5;20.43926048
29;14;20.62158775
30;14.5;20.77174187
31;15;20.97551537
32;15.5;21.15784264
33;16;21.38306999
34;16.5;21.59757042
35;17;21.87642479
36;17.5;22.08020592
37;18;22.36977959
38;18.5;22.6164608
39;19;22.88458824
40;19.5;23.10980797
41;20;23.36721611
42;20.5;23.61388969
43;21;23.82839012
44;21.5;24.02144432
45;22;24.23594475
46;22.5;24.41827202
47;23;24.58987236
48;23.5;24.76148033
49;24;24.87945366
50;24.5;25.04032707
51;25;25.15830803
52;25.5;25.2441082
53;26;25.3513546
54;26.5;25.43715477
55;27;25.50150871
56;27.5;25.58730888
57;28;25.6409359
58;28.5;25.67310905
59;29;25.71600914
60;29.5;25.76963615
61;30;25.76963615
62;30.5;25.82326317
63;31;25.8447094
64;31.5;25.87689018
65;32;25.90906334
66;32.5;25.90906334
67;33;25.95196342
68;33.5;25.98413658
69;34;25.99486351
70;34.5;26.01630974
71;35;26.0377636
72;35.5;26.05920982
73;36;26.09139061
74;36.5;26.11283684
75;37;26.12356377
76;37.5;26.15573692
77;38;26.19863701
78;38.5;26.20936394
79;39;26.24153709
80;39.5;26.26299095
81;40;26.27371788
82;40.5;26.29516411
83;41;26.33806419
84;41.5;26.35951805
85;42;26.38096428
86;42.5;26.39169121
87;43;26.42386436
88;43.5;26.46676445
89;44;26.48821831
90;44.5;26.49894524
91;45;26.54184532
92;45.5;26.54184532
93;46;26.58474541
94;46.5;26.62764549
95;47;26.61691856
96;47.5;26.67054558
97;48;26.69199181
98;48.5;26.70271873
99;49;26.72417259
100;49.5;26.76707268
101;50;26.78851891
102;50.5;26.80997276
103;51;26.80997276
104;51.5;26.83141899
105;52;26.84214592
106;52.5;26.84214592
107;53;26.88504601
108;53.5;26.86359215
109;54;26.89577293
110;54.5;26.90649986
111;55;26.89577293
112;55.5;26.93867302
113;56;26.93867302
114;56.5;26.92794609
115;57;26.97084618
116;57.5;26.97084618
117;58;26.9815731
118;58.5;27.00301933
119;59;27.00301933
120;59.5;27.01374626
121;60;27.04591942
